Metric,AIRPORT,Year,Rank,DomesticINBOUND,DomesticOUTBOUND,DomesticTOTAL,internationalINBOUND,internationalOUTBOUND,internationalTOTAL,totalINBOUND,totalOUTBOUND,totalTOTAL
CANBERRA2013,CANBERRA,2013,8,1483065,1473383,2956448,0,0,0,1483065,1473383,2956448
CANBERRA2014,CANBERRA,2014,8,1409599,1402223,2811822,0,0,0,1409599,1402223,2811822
CANBERRA2015,CANBERRA,2015,8,1402480,1394132,2796612,0,0,0,1402480,1394132,2796612
CANBERRA2016,CANBERRA,2016,8,1436486,1432896,2869382,11378,12393,23771,1447864,1445289,2893153
CARNARVON1985,CARNARVON,1985,-,17841,17825,35666,0,0,0,17841,17825,35666
CARNARVON1986,CARNARVON,1986,-,17562,17969,35531,0,0,0,17562,17969,35531
CARNARVON1987,CARNARVON,1987,-,15353,15540,30893,0,0,0,15353,15540,30893
CARNARVON1988,CARNARVON,1988,-,14558,15000,29558,0,0,0,14558,15000,29558
CARNARVON1989,CARNARVON,1989,-,10096,10235,20331,0,0,0,10096,10235,20331
CARNARVON1990,CARNARVON,1990,-,12798,13064,25862,0,0,0,12798,13064,25862
CARNARVON1991,CARNARVON,1991,-,14653,14898,29551,0,0,0,14653,14898,29551
CARNARVON1992,CARNARVON,1992,-,15987,16291,32278,0,0,0,15987,16291,32278
CARNARVON1993,CARNARVON,1993,-,17551,17832,35383,0,0,0,17551,17832,35383
CARNARVON1994,CARNARVON,1994,-,16822,16347,33169,0,0,0,16822,16347,33169
CARNARVON1995,CARNARVON,1995,-,9482,9124,18606,0,0,0,9482,9124,18606
CARNARVON1996,CARNARVON,1996,-,9890,10172,20062,0,0,0,9890,10172,20062
CARNARVON1997,CARNARVON,1997,-,10320,10527,20847,0,0,0,10320,10527,20847
CARNARVON1998,CARNARVON,1998,-,9584,8903,18487,0,0,0,9584,8903,18487
CARNARVON1999,CARNARVON,1999,-,9360,8003,17363,0,0,0,9360,8003,17363
CARNARVON2000,CARNARVON,2000,-,9217,9365,18582,0,0,0,9217,9365,18582
CARNARVON2001,CARNARVON,2001,-,7738,7842,15580,0,0,0,7738,7842,15580
CARNARVON2002,CARNARVON,2002,-,7837,7914,15751,0,0,0,7837,7914,15751
CARNARVON2003,CARNARVON,2003,-,7541,7687,15228,0,0,0,7541,7687,15228
CARNARVON2004,CARNARVON,2004,-,8327,8481,16808,0,0,0,8327,8481,16808
CARNARVON2005,CARNARVON,2005,-,8886,8913,17799,0,0,0,8886,8913,17799
CARNARVON2006,CARNARVON,2006,-,9899,10109,20008,0,0,0,9899,10109,20008
CARNARVON2007,CARNARVON,2007,-,11361,11699,23060,0,0,0,11361,11699,23060
CARNARVON2008,CARNARVON,2008,-,10749,11066,21815,0,0,0,10749,11066,21815
CARNARVON2009,CARNARVON,2009,-,11507,11783,23290,0,0,0,11507,11783,23290
CARNARVON2010,CARNARVON,2010,-,12575,13288,25863,0,0,0,12575,13288,25863
CARNARVON2011,CARNARVON,2011,-,14132,14426,28558,0,0,0,14132,14426,28558
CARNARVON2012,CARNARVON,2012,-,12692,12895,25587,0,0,0,12692,12895,25587
CARNARVON2013,CARNARVON,2013,-,13440,13928,27368,0,0,0,13440,13928,27368
CARNARVON2014,CARNARVON,2014,-,11537,11812,23349,0,0,0,11537,11812,23349
CARNARVON2015,CARNARVON,2015,-,10583,10936,21519,0,0,0,10583,10936,21519
CARNARVON2016,CARNARVON,2016,-,9044,10445,19489,0,0,0,9044,10445,19489
CEDUNA1985,CEDUNA,1985,-,2578,2676,5254,0,0,0,2578,2676,5254
CEDUNA1986,CEDUNA,1986,-,836,855,1691,0,0,0,836,855,1691
CEDUNA1987,CEDUNA,1987,-,2212,2219,4431,0,0,0,2212,2219,4431
CEDUNA1988,CEDUNA,1988,-,2287,2265,4552,0,0,0,2287,2265,4552
CEDUNA1989,CEDUNA,1989,-,2165,2324,4489,0,0,0,2165,2324,4489
CEDUNA1990,CEDUNA,1990,-,2447,2396,4843,0,0,0,2447,2396,4843
CEDUNA1991,CEDUNA,1991,-,2657,2681,5338,0,0,0,2657,2681,5338
CEDUNA1992,CEDUNA,1992,-,2803,2836,5639,0,0,0,2803,2836,5639
CEDUNA1993,CEDUNA,1993,-,3172,3214,6386,0,0,0,3172,3214,6386
CEDUNA1994,CEDUNA,1994,-,3599,3574,7173,0,0,0,3599,3574,7173
CEDUNA1995,CEDUNA,1995,-,3835,3938,7773,0,0,0,3835,3938,7773
CEDUNA1996,CEDUNA,1996,-,4345,4296,8641,0,0,0,4345,4296,8641
CEDUNA1997,CEDUNA,1997,-,5006,5077,10083,0,0,0,5006,5077,10083
CEDUNA1998,CEDUNA,1998,-,5276,5250,10526,0,0,0,5276,5250,10526
CEDUNA1999,CEDUNA,1999,-,5298,5339,10637,0,0,0,5298,5339,10637
CEDUNA2000,CEDUNA,2000,-,5004,5001,10005,0,0,0,5004,5001,10005
CEDUNA2001,CEDUNA,2001,-,4330,4327,8657,0,0,0,4330,4327,8657
CEDUNA2002,CEDUNA,2002,-,4697,4548,9245,0,0,0,4697,4548,9245
CEDUNA2003,CEDUNA,2003,-,5501,5676,11177,0,0,0,5501,5676,11177
CEDUNA2004,CEDUNA,2004,-,6286,6316,12602,0,0,0,6286,6316,12602
CEDUNA2005,CEDUNA,2005,-,7576,7697,15273,0,0,0,7576,7697,15273
CEDUNA2006,CEDUNA,2006,-,9564,9685,19249,0,0,0,9564,9685,19249
CEDUNA2007,CEDUNA,2007,-,11118,11357,22475,0,0,0,11118,11357,22475
CEDUNA2008,CEDUNA,2008,-,12072,12317,24389,0,0,0,12072,12317,24389
CEDUNA2009,CEDUNA,2009,-,12327,12455,24782,0,0,0,12327,12455,24782
CEDUNA2010,CEDUNA,2010,-,12379,12531,24910,0,0,0,12379,12531,24910
CEDUNA2011,CEDUNA,2011,-,12200,12546,24746,0,0,0,12200,12546,24746
CEDUNA2012,CEDUNA,2012,-,11669,11781,23450,0,0,0,11669,11781,23450
CEDUNA2013,CEDUNA,2013,-,10651,10984,21635,0,0,0,10651,10984,21635
CEDUNA2014,CEDUNA,2014,-,10505,10931,21436,0,0,0,10505,10931,21436
CEDUNA2015,CEDUNA,2015,-,11020,11307,22327,0,0,0,11020,11307,22327
CEDUNA2016,CEDUNA,2016,-,11285,11510,22795,0,0,0,11285,11510,22795
CHARLEVILLE1985,CHARLEVILLE,1985,-,4349,4592,8941,0,0,0,4349,4592,8941
CHARLEVILLE1986,CHARLEVILLE,1986,-,4380,4840,9220,0,0,0,4380,4840,9220
CHARLEVILLE1987,CHARLEVILLE,1987,-,1448,1469,2917,0,0,0,1448,1469,2917
CHARLEVILLE1988,CHARLEVILLE,1988,-,0,0,0,0,0,0,0,0,0
CHARLEVILLE1989,CHARLEVILLE,1989,-,0,0,0,0,0,0,0,0,0
CHARLEVILLE1990,CHARLEVILLE,1990,-,0,0,0,0,0,0,0,0,0
CHARLEVILLE1991,CHARLEVILLE,1991,-,1658,1621,3279,0,0,0,1658,1621,3279
CHARLEVILLE1992,CHARLEVILLE,1992,-,2005,1996,4001,0,0,0,2005,1996,4001
CHARLEVILLE1993,CHARLEVILLE,1993,-,2069,2111,4180,0,0,0,2069,2111,4180
CHARLEVILLE1994,CHARLEVILLE,1994,-,2239,2260,4499,0,0,0,2239,2260,4499
CHARLEVILLE1995,CHARLEVILLE,1995,-,2576,2634,5210,0,0,0,2576,2634,5210
CHARLEVILLE1996,CHARLEVILLE,1996,-,3290,3245,6535,0,0,0,3290,3245,6535
CHARLEVILLE1997,CHARLEVILLE,1997,-,3585,3703,7288,0,0,0,3585,3703,7288
CHARLEVILLE1998,CHARLEVILLE,1998,-,3870,3844,7714,0,0,0,3870,3844,7714
CHARLEVILLE1999,CHARLEVILLE,1999,-,4119,4154,8273,0,0,0,4119,4154,8273
CHARLEVILLE2000,CHARLEVILLE,2000,-,4175,4073,8248,0,0,0,4175,4073,8248
CHARLEVILLE2001,CHARLEVILLE,2001,-,3453,3375,6828,0,0,0,3453,3375,6828
CHARLEVILLE2002,CHARLEVILLE,2002,-,4197,4299,8496,0,0,0,4197,4299,8496
CHARLEVILLE2003,CHARLEVILLE,2003,-,4263,4406,8669,0,0,0,4263,4406,8669
CHARLEVILLE2004,CHARLEVILLE,2004,-,4529,4574,9103,0,0,0,4529,4574,9103
CHARLEVILLE2005,CHARLEVILLE,2005,-,4683,4683,9366,0,0,0,4683,4683,9366
CHARLEVILLE2006,CHARLEVILLE,2006,-,5360,5293,10653,0,0,0,5360,5293,10653
CHARLEVILLE2007,CHARLEVILLE,2007,-,6374,6392,12766,0,0,0,6374,6392,12766
CHARLEVILLE2008,CHARLEVILLE,2008,-,7191,7505,14696,0,0,0,7191,7505,14696
CHARLEVILLE2009,CHARLEVILLE,2009,-,6563,6864,13427,0,0,0,6563,6864,13427
CHARLEVILLE2010,CHARLEVILLE,2010,-,7041,7126,14167,0,0,0,7041,7126,14167
CHARLEVILLE2011,CHARLEVILLE,2011,-,7795,8057,15852,0,0,0,7795,8057,15852
CHARLEVILLE2012,CHARLEVILLE,2012,-,7506,7772,15278,0,0,0,7506,7772,15278
CHARLEVILLE2013,CHARLEVILLE,2013,-,8286,8314,16600,0,0,0,8286,8314,16600
CHARLEVILLE2014,CHARLEVILLE,2014,-,8738,8812,17550,0,0,0,8738,8812,17550
CHARLEVILLE2015,CHARLEVILLE,2015,-,7778,7768,15546,0,0,0,7778,7768,15546
CHARLEVILLE2016,CHARLEVILLE,2016,-,7483,7502,14985,0,0,0,7483,7502,14985
CHRISTMAS ISLAND1985,CHRISTMAS ISLAND,1985,-,0,0,0,0,0,0,0,0,0
CHRISTMAS ISLAND1986,CHRISTMAS ISLAND,1986,-,0,0,0,0,0,0,0,0,0
CHRISTMAS ISLAND1987,CHRISTMAS ISLAND,1987,-,0,0,0,0,0,0,0,0,0
CHRISTMAS ISLAND1988,CHRISTMAS ISLAND,1988,-,0,0,0,0,0,0,0,0,0
CHRISTMAS ISLAND1989,CHRISTMAS ISLAND,1989,-,0,0,0,0,0,0,0,0,0
CHRISTMAS ISLAND1990,CHRISTMAS ISLAND,1990,-,0,0,0,0,0,0,0,0,0
CHRISTMAS ISLAND1991,CHRISTMAS ISLAND,1991,-,0,0,0,0,0,0,0,0,0
CHRISTMAS ISLAND1992,CHRISTMAS ISLAND,1992,-,0,0,0,0,0,0,0,0,0
CHRISTMAS ISLAND1993,CHRISTMAS ISLAND,1993,-,1776,1744,3520,1868,1994,3862,3644,3738,7382
CHRISTMAS ISLAND1994,CHRISTMAS ISLAND,1994,-,5319,5108,10427,10224,10444,20668,15543,15552,31095
CHRISTMAS ISLAND1995,CHRISTMAS ISLAND,1995,-,6086,5994,12080,14045,13434,27479,20131,19428,39559
CHRISTMAS ISLAND1996,CHRISTMAS ISLAND,1996,-,5888,6200,12088,7261,7252,14513,13149,13452,26601
CHRISTMAS ISLAND1997,CHRISTMAS ISLAND,1997,-,6058,5315,11373,1929,1966,3895,7987,7281,15268
CHRISTMAS ISLAND1998,CHRISTMAS ISLAND,1998,-,2727,2819,5546,1329,1383,2712,4056,4202,8258
CHRISTMAS ISLAND1999,CHRISTMAS ISLAND,1999,-,2484,2544,5028,0,0,0,2484,2544,5028
CHRISTMAS ISLAND2000,CHRISTMAS ISLAND,2000,-,2543,2512,5055,0,0,0,2543,2512,5055
CHRISTMAS ISLAND2001,CHRISTMAS ISLAND,2001,-,2867,2865,5732,0,0,0,2867,2865,5732
CHRISTMAS ISLAND2002,CHRISTMAS ISLAND,2002,-,4116,4133,8249,0,0,0,4116,4133,8249
CHRISTMAS ISLAND2003,CHRISTMAS ISLAND,2003,-,3631,3817,7448,0,0,0,3631,3817,7448
CHRISTMAS ISLAND2004,CHRISTMAS ISLAND,2004,-,4066,4191,8257,0,0,0,4066,4191,8257
CHRISTMAS ISLAND2005,CHRISTMAS ISLAND,2005,-,3903,4074,7977,0,0,0,3903,4074,7977
CHRISTMAS ISLAND2006,CHRISTMAS ISLAND,2006,-,3980,4075,8055,0,0,0,3980,4075,8055
CHRISTMAS ISLAND2007,CHRISTMAS ISLAND,2007,-,3883,3958,7841,144,336,480,4027,4294,8321
CHRISTMAS ISLAND2008,CHRISTMAS ISLAND,2008,-,2988,3127,6115,664,578,1242,3652,3705,7357
CHRISTMAS ISLAND2009,CHRISTMAS ISLAND,2009,-,4776,4841,9617,0,0,0,4776,4841,9617
CHRISTMAS ISLAND2010,CHRISTMAS ISLAND,2010,-,10606,10986,21592,0,0,0,10606,10986,21592
CHRISTMAS ISLAND2011,CHRISTMAS ISLAND,2011,-,15714,16172,31886,0,0,0,15714,16172,31886
CHRISTMAS ISLAND2012,CHRISTMAS ISLAND,2012,-,17666,17393,35059,0,0,0,17666,17393,35059
CHRISTMAS ISLAND2013,CHRISTMAS ISLAND,2013,-,18122,17883,36005,0,0,0,18122,17883,36005
CHRISTMAS ISLAND2014,CHRISTMAS ISLAND,2014,-,16888,17136,34024,0,0,0,16888,17136,34024
CHRISTMAS ISLAND2015,CHRISTMAS ISLAND,2015,-,10238,10400,20638,0,0,0,10238,10400,20638
CHRISTMAS ISLAND2016,CHRISTMAS ISLAND,2016,-,9950,9836,19786,0,0,0,9950,9836,19786
CLONCURRY1985,CLONCURRY,1985,-,3013,3131,6144,0,0,0,3013,3131,6144
CLONCURRY1986,CLONCURRY,1986,-,2647,2641,5288,0,0,0,2647,2641,5288
CLONCURRY1987,CLONCURRY,1987,-,722,738,1460,0,0,0,722,738,1460
CLONCURRY1988,CLONCURRY,1988,-,0,0,0,0,0,0,0,0,0
CLONCURRY1989,CLONCURRY,1989,-,0,0,0,0,0,0,0,0,0
CLONCURRY1990,CLONCURRY,1990,-,0,0,0,0,0,0,0,0,0
CLONCURRY1991,CLONCURRY,1991,-,230,248,478,0,0,0,230,248,478
CLONCURRY1992,CLONCURRY,1992,-,212,215,427,0,0,0,212,215,427
CLONCURRY1993,CLONCURRY,1993,-,233,225,458,0,0,0,233,225,458
CLONCURRY1994,CLONCURRY,1994,-,318,278,596,0,0,0,318,278,596
CLONCURRY1995,CLONCURRY,1995,-,392,345,737,0,0,0,392,345,737
CLONCURRY1996,CLONCURRY,1996,-,814,816,1630,0,0,0,814,816,1630
CLONCURRY1997,CLONCURRY,1997,-,1856,1638,3494,0,0,0,1856,1638,3494
CLONCURRY1998,CLONCURRY,1998,-,2982,2777,5759,0,0,0,2982,2777,5759
CLONCURRY1999,CLONCURRY,1999,-,5131,4718,9849,0,0,0,5131,4718,9849
CLONCURRY2000,CLONCURRY,2000,-,5750,5302,11052,0,0,0,5750,5302,11052
CLONCURRY2001,CLONCURRY,2001,-,4278,4407,8685,0,0,0,4278,4407,8685
CLONCURRY2002,CLONCURRY,2002,-,4194,4192,8386,0,0,0,4194,4192,8386
CLONCURRY2003,CLONCURRY,2003,-,3501,3385,6886,0,0,0,3501,3385,6886
CLONCURRY2004,CLONCURRY,2004,-,2338,2564,4902,0,0,0,2338,2564,4902
CLONCURRY2005,CLONCURRY,2005,-,2075,1676,3751,0,0,0,2075,1676,3751
CLONCURRY2006,CLONCURRY,2006,-,2110,1925,4035,0,0,0,2110,1925,4035
CLONCURRY2007,CLONCURRY,2007,-,2287,2390,4677,0,0,0,2287,2390,4677
CLONCURRY2008,CLONCURRY,2008,-,1940,2691,4631,0,0,0,1940,2691,4631
CLONCURRY2009,CLONCURRY,2009,-,3350,3596,6946,0,0,0,3350,3596,6946
CLONCURRY2010,CLONCURRY,2010,-,8276,8438,16714,0,0,0,8276,8438,16714
CLONCURRY2011,CLONCURRY,2011,-,6251,6618,12869,0,0,0,6251,6618,12869
CLONCURRY2012,CLONCURRY,2012,-,3914,4159,8073,0,0,0,3914,4159,8073
CLONCURRY2013,CLONCURRY,2013,-,4455,4490,8945,0,0,0,4455,4490,8945
CLONCURRY2014,CLONCURRY,2014,-,9975,10426,20401,0,0,0,9975,10426,20401
CLONCURRY2015,CLONCURRY,2015,-,8057,8525,16582,0,0,0,8057,8525,16582
CLONCURRY2016,CLONCURRY,2016,-,10921,10742,21663,0,0,0,10921,10742,21663
COCOS ISLAND1985,COCOS ISLAND,1985,-,0,0,0,0,0,0,0,0,0
COCOS ISLAND1986,COCOS ISLAND,1986,-,0,0,0,0,0,0,0,0,0
COCOS ISLAND1987,COCOS ISLAND,1987,-,0,0,0,0,0,0,0,0,0
COCOS ISLAND1988,COCOS ISLAND,1988,-,0,0,0,0,0,0,0,0,0
COCOS ISLAND1989,COCOS ISLAND,1989,-,0,0,0,0,0,0,0,0,0
COCOS ISLAND1990,COCOS ISLAND,1990,-,0,0,0,0,0,0,0,0,0
COCOS ISLAND1991,COCOS ISLAND,1991,-,0,0,0,0,0,0,0,0,0
COCOS ISLAND1992,COCOS ISLAND,1992,-,0,0,0,0,0,0,0,0,0
COCOS ISLAND1993,COCOS ISLAND,1993,-,1466,1420,2886,0,0,0,1466,1420,2886
COCOS ISLAND1994,COCOS ISLAND,1994,-,4441,4224,8665,0,0,0,4441,4224,8665
COCOS ISLAND1995,COCOS ISLAND,1995,-,5347,5016,10363,0,0,0,5347,5016,10363
COCOS ISLAND1996,COCOS ISLAND,1996,-,4968,4931,9899,0,0,0,4968,4931,9899
COCOS ISLAND1997,COCOS ISLAND,1997,-,4698,4254,8952,0,0,0,4698,4254,8952
COCOS ISLAND1998,COCOS ISLAND,1998,-,1649,1617,3266,0,0,0,1649,1617,3266
COCOS ISLAND1999,COCOS ISLAND,1999,-,1646,1652,3298,0,0,0,1646,1652,3298
COCOS ISLAND2000,COCOS ISLAND,2000,-,1953,1926,3879,0,0,0,1953,1926,3879
COCOS ISLAND2001,COCOS ISLAND,2001,-,2289,2322,4611,0,0,0,2289,2322,4611
COCOS ISLAND2002,COCOS ISLAND,2002,-,2163,2201,4364,0,0,0,2163,2201,4364
COCOS ISLAND2003,COCOS ISLAND,2003,-,2251,2241,4492,0,0,0,2251,2241,4492
COCOS ISLAND2004,COCOS ISLAND,2004,-,2753,2846,5599,0,0,0,2753,2846,5599
COCOS ISLAND2005,COCOS ISLAND,2005,-,2827,2815,5642,0,0,0,2827,2815,5642
COCOS ISLAND2006,COCOS ISLAND,2006,-,3158,2985,6143,0,0,0,3158,2985,6143
COCOS ISLAND2007,COCOS ISLAND,2007,-,3391,3309,6700,0,0,0,3391,3309,6700
COCOS ISLAND2008,COCOS ISLAND,2008,-,2882,2964,5846,0,0,0,2882,2964,5846
COCOS ISLAND2009,COCOS ISLAND,2009,-,3196,3045,6241,0,0,0,3196,3045,6241
COCOS ISLAND2010,COCOS ISLAND,2010,-,6363,6838,13201,0,0,0,6363,6838,13201
COCOS ISLAND2011,COCOS ISLAND,2011,-,6256,6235,12491,0,0,0,6256,6235,12491
COCOS ISLAND2012,COCOS ISLAND,2012,-,4405,4517,8922,0,0,0,4405,4517,8922
COCOS ISLAND2013,COCOS ISLAND,2013,-,4105,4040,8145,0,0,0,4105,4040,8145
COCOS ISLAND2014,COCOS ISLAND,2014,-,3960,4036,7996,0,0,0,3960,4036,7996
COCOS ISLAND2015,COCOS ISLAND,2015,-,7819,7846,15665,0,0,0,7819,7846,15665
COCOS ISLAND2016,COCOS ISLAND,2016,-,8366,8386,16752,0,0,0,8366,8386,16752
COFFS HARBOUR1985,COFFS HARBOUR,1985,24,47733,47802,95535,0,0,0,47733,47802,95535
COFFS HARBOUR1986,COFFS HARBOUR,1986,27,45486,44798,90284,0,0,0,45486,44798,90284
COFFS HARBOUR1987,COFFS HARBOUR,1987,26,47147,47154,94301,0,0,0,47147,47154,94301
COFFS HARBOUR1988,COFFS HARBOUR,1988,25,53885,52933,106818,0,0,0,53885,52933,106818
COFFS HARBOUR1989,COFFS HARBOUR,1989,22,44719,44396,89115,0,0,0,44719,44396,89115
COFFS HARBOUR1990,COFFS HARBOUR,1990,20,56812,55258,112070,0,0,0,56812,55258,112070
COFFS HARBOUR1991,COFFS HARBOUR,1991,21,61916,61729,123645,0,0,0,61916,61729,123645
COFFS HARBOUR1992,COFFS HARBOUR,1992,21,61229,61218,122447,0,0,0,61229,61218,122447
COFFS HARBOUR1993,COFFS HARBOUR,1993,20,75787,76195,151982,0,0,0,75787,76195,151982
COFFS HARBOUR1994,COFFS HARBOUR,1994,21,81085,81609,162694,0,0,0,81085,81609,162694
COFFS HARBOUR1995,COFFS HARBOUR,1995,22,83143,83184,166327,0,0,0,83143,83184,166327
COFFS HARBOUR1996,COFFS HARBOUR,1996,22,85124,84503,169627,0,0,0,85124,84503,169627
COFFS HARBOUR1997,COFFS HARBOUR,1997,22,87172,87294,174466,0,0,0,87172,87294,174466
COFFS HARBOUR1998,COFFS HARBOUR,1998,22,89152,89585,178737,0,0,0,89152,89585,178737
COFFS HARBOUR1999,COFFS HARBOUR,1999,21,86378,87570,173948,0,0,0,86378,87570,173948
COFFS HARBOUR2000,COFFS HARBOUR,2000,23,87905,88362,176267,0,0,0,87905,88362,176267
COFFS HARBOUR2001,COFFS HARBOUR,2001,23,77016,76688,153704,0,0,0,77016,76688,153704
COFFS HARBOUR2002,COFFS HARBOUR,2002,21,82763,83123,165886,0,0,0,82763,83123,165886
COFFS HARBOUR2003,COFFS HARBOUR,2003,19,114932,114927,229859,0,0,0,114932,114927,229859
COFFS HARBOUR2004,COFFS HARBOUR,2004,21,126759,125574,252333,0,0,0,126759,125574,252333
COFFS HARBOUR2005,COFFS HARBOUR,2005,20,153241,151017,304258,0,0,0,153241,151017,304258
COFFS HARBOUR2006,COFFS HARBOUR,2006,21,162649,161220,323869,0,0,0,162649,161220,323869
COFFS HARBOUR2007,COFFS HARBOUR,2007,22,164496,165746,330242,0,0,0,164496,165746,330242
COFFS HARBOUR2008,COFFS HARBOUR,2008,22,166952,164281,331233,0,0,0,166952,164281,331233
COFFS HARBOUR2009,COFFS HARBOUR,2009,21,160041,159770,319811,0,0,0,160041,159770,319811
COFFS HARBOUR2010,COFFS HARBOUR,2010,22,169283,167910,337193,0,0,0,169283,167910,337193
COFFS HARBOUR2011,COFFS HARBOUR,2011,22,167363,168457,335820,0,0,0,167363,168457,335820
COFFS HARBOUR2012,COFFS HARBOUR,2012,25,170187,170940,341127,0,0,0,170187,170940,341127
COFFS HARBOUR2013,COFFS HARBOUR,2013,24,193311,194073,387384,0,0,0,193311,194073,387384
COFFS HARBOUR2014,COFFS HARBOUR,2014,25,180148,180436,360584,0,0,0,180148,180436,360584
COFFS HARBOUR2015,COFFS HARBOUR,2015,24,177868,177583,355451,0,0,0,177868,177583,355451
COFFS HARBOUR2016,COFFS HARBOUR,2016,21,197313,197664,394977,0,0,0,197313,197664,394977
COOBER PEDY1985,COOBER PEDY,1985,-,1581,1678,3259,0,0,0,1581,1678,3259
COOBER PEDY1986,COOBER PEDY,1986,-,894,982,1876,0,0,0,894,982,1876
COOBER PEDY1987,COOBER PEDY,1987,-,1206,1193,2399,0,0,0,1206,1193,2399
COOBER PEDY1988,COOBER PEDY,1988,-,1844,1760,3604,0,0,0,1844,1760,3604
COOBER PEDY1989,COOBER PEDY,1989,-,1525,1521,3046,0,0,0,1525,1521,3046
COOBER PEDY1990,COOBER PEDY,1990,-,2234,2081,4315,0,0,0,2234,2081,4315
COOBER PEDY1991,COOBER PEDY,1991,-,1936,1853,3789,0,0,0,1936,1853,3789
COOBER PEDY1992,COOBER PEDY,1992,-,2819,2824,5643,0,0,0,2819,2824,5643
COOBER PEDY1993,COOBER PEDY,1993,-,3011,2956,5967,0,0,0,3011,2956,5967
COOBER PEDY1994,COOBER PEDY,1994,-,3258,3222,6480,0,0,0,3258,3222,6480
COOBER PEDY1995,COOBER PEDY,1995,-,3556,3570,7126,0,0,0,3556,3570,7126
COOBER PEDY1996,COOBER PEDY,1996,-,3528,3488,7016,0,0,0,3528,3488,7016
COOBER PEDY1997,COOBER PEDY,1997,-,3098,3069,6167,0,0,0,3098,3069,6167
COOBER PEDY1998,COOBER PEDY,1998,-,2999,2929,5928,0,0,0,2999,2929,5928
COOBER PEDY1999,COOBER PEDY,1999,-,2645,2563,5208,0,0,0,2645,2563,5208
COOBER PEDY2000,COOBER PEDY,2000,-,2141,2135,4276,0,0,0,2141,2135,4276
COOBER PEDY2001,COOBER PEDY,2001,-,1878,1875,3753,0,0,0,1878,1875,3753
COOBER PEDY2002,COOBER PEDY,2002,-,2049,2064,4113,0,0,0,2049,2064,4113
COOBER PEDY2003,COOBER PEDY,2003,-,2422,2531,4953,0,0,0,2422,2531,4953
COOBER PEDY2004,COOBER PEDY,2004,-,3286,3420,6706,0,0,0,3286,3420,6706
COOBER PEDY2005,COOBER PEDY,2005,-,3567,3746,7313,0,0,0,3567,3746,7313
COOBER PEDY2006,COOBER PEDY,2006,-,4871,4984,9855,0,0,0,4871,4984,9855
COOBER PEDY2007,COOBER PEDY,2007,-,5157,5488,10645,0,0,0,5157,5488,10645
COOBER PEDY2008,COOBER PEDY,2008,-,4983,5251,10234,0,0,0,4983,5251,10234
COOBER PEDY2009,COOBER PEDY,2009,-,4505,4751,9256,0,0,0,4505,4751,9256
COOBER PEDY2010,COOBER PEDY,2010,-,5203,5300,10503,0,0,0,5203,5300,10503
COOBER PEDY2011,COOBER PEDY,2011,-,5744,5775,11519,0,0,0,5744,5775,11519
COOBER PEDY2012,COOBER PEDY,2012,-,5790,5915,11705,0,0,0,5790,5915,11705
COOBER PEDY2013,COOBER PEDY,2013,-,4948,4921,9869,0,0,0,4948,4921,9869
COOBER PEDY2014,COOBER PEDY,2014,-,4478,4567,9045,0,0,0,4478,4567,9045
COOBER PEDY2015,COOBER PEDY,2015,-,4080,4100,8180,0,0,0,4080,4100,8180
COOBER PEDY2016,COOBER PEDY,2016,-,4393,4429,8822,0,0,0,4393,4429,8822
COOKTOWN1985,COOKTOWN,1985,-,2204,2242,4446,0,0,0,2204,2242,4446
COOKTOWN1986,COOKTOWN,1986,-,2672,2833,5505,0,0,0,2672,2833,5505
COOKTOWN1987,COOKTOWN,1987,-,3012,2937,5949,0,0,0,3012,2937,5949
COOKTOWN1988,COOKTOWN,1988,-,787,751,1538,0,0,0,787,751,1538
COOKTOWN1989,COOKTOWN,1989,-,22,9,31,0,0,0,22,9,31
COOKTOWN1990,COOKTOWN,1990,-,1886,1883,3769,0,0,0,1886,1883,3769
COOKTOWN1991,COOKTOWN,1991,-,4137,4351,8488,0,0,0,4137,4351,8488
COOKTOWN1992,COOKTOWN,1992,-,5414,5704,11118,0,0,0,5414,5704,11118
COOKTOWN1993,COOKTOWN,1993,-,5797,6153,11950,0,0,0,5797,6153,11950
COOKTOWN1994,COOKTOWN,1994,-,4812,4944,9756,0,0,0,4812,4944,9756
COOKTOWN1995,COOKTOWN,1995,-,6988,7291,14279,0,0,0,6988,7291,14279
COOKTOWN1996,COOKTOWN,1996,-,7597,7797,15394,0,0,0,7597,7797,15394
COOKTOWN1997,COOKTOWN,1997,-,7298,7513,14811,0,0,0,7298,7513,14811
COOKTOWN1998,COOKTOWN,1998,-,7335,7667,15002,0,0,0,7335,7667,15002
COOKTOWN1999,COOKTOWN,1999,-,7595,7793,15388,0,0,0,7595,7793,15388
COOKTOWN2000,COOKTOWN,2000,-,7735,7827,15562,0,0,0,7735,7827,15562
COOKTOWN2001,COOKTOWN,2001,-,6293,6384,12677,0,0,0,6293,6384,12677
COOKTOWN2002,COOKTOWN,2002,-,5656,5500,11156,0,0,0,5656,5500,11156
COOKTOWN2003,COOKTOWN,2003,-,6303,6149,12452,0,0,0,6303,6149,12452
COOKTOWN2004,COOKTOWN,2004,-,7158,6995,14153,0,0,0,7158,6995,14153
COOKTOWN2005,COOKTOWN,2005,-,7866,7977,15843,0,0,0,7866,7977,15843
COOKTOWN2006,COOKTOWN,2006,-,7831,8163,15994,0,0,0,7831,8163,15994
