AIRPORT,Year,Rank,DomesticINBOUND,DomesticOUTBOUND,DomesticTOTAL,internationalINBOUND,internationalOUTBOUND,internationalTOTAL,totalINBOUND,totalOUTBOUND,totalTOTAL
PORT LINCOLN,1992,31,2857,2894,5751,0,0,0,2857,2894,5751
PORT LINCOLN,1993,34,2817,2820,5637,0,0,0,2817,2820,5637
PORT LINCOLN,1994,34,2836,2836,5672,0,0,0,2836,2836,5672
PORT LINCOLN,1995,37,2820,2822,5642,0,0,0,2820,2822,5642
PORT LINCOLN,1996,34,3315,3314,6629,0,0,0,3315,3314,6629
PORT LINCOLN,1997,28,3336,3340,6676,0,0,0,3336,3340,6676
PORT LINCOLN,1998,32,3335,3337,6672,0,0,0,3335,3337,6672
PORT LINCOLN,1999,32,3085,3082,6167,0,0,0,3085,3082,6167
PORT LINCOLN,2000,33,2976,2974,5950,0,0,0,2976,2974,5950
PORT LINCOLN,2001,29,2946,2943,5889,0,0,0,2946,2943,5889
PORT LINCOLN,2002,27,2968,2962,5930,0,0,0,2968,2962,5930
PORT LINCOLN,2003,24,3086,3093,6179,0,0,0,3086,3093,6179
PORT LINCOLN,2004,20,3500,3453,6953,0,0,0,3500,3453,6953
PORT LINCOLN,2005,25,3065,3070,6135,0,0,0,3065,3070,6135
PORT LINCOLN,2006,25,2902,2901,5803,0,0,0,2902,2901,5803
PORT LINCOLN,2007,28,2735,2735,5470,0,0,0,2735,2735,5470
PORT LINCOLN,2008,24,3021,3020,6041,0,0,0,3021,3020,6041
PORT LINCOLN,2009,23,2944,2944,5888,0,0,0,2944,2944,5888
PORT LINCOLN,2010,17,3798,3796,7594,0,0,0,3798,3796,7594
PORT LINCOLN,2011,19,3613,3610,7223,0,0,0,3613,3610,7223
PORT LINCOLN,2012,20,3532,3521,7053,0,0,0,3532,3521,7053
PORT LINCOLN,2013,22,3508,3500,7008,0,0,0,3508,3500,7008
PORT LINCOLN,2014,22,3526,3524,7050,0,0,0,3526,3524,7050
PORT LINCOLN,2015,19,3660,3655,7315,0,0,0,3660,3655,7315
PORT LINCOLN,2016,18,3729,3722,7451,0,0,0,3729,3722,7451
PORT MACQUARIE,1985,28,2827,2843,5670,0,0,0,2827,2843,5670
PORT MACQUARIE,1986,31,2681,2692,5373,0,0,0,2681,2692,5373
PORT MACQUARIE,1987,23,3392,3409,6801,0,0,0,3392,3409,6801
PORT MACQUARIE,1988,23,3368,3380,6748,0,0,0,3368,3380,6748
PORT MACQUARIE,1989,22,3216,3203,6419,0,0,0,3216,3203,6419
PORT MACQUARIE,1990,24,3727,3719,7446,0,0,0,3727,3719,7446
PORT MACQUARIE,1991,17,4666,4787,9453,0,0,0,4666,4787,9453
PORT MACQUARIE,1992,29,2983,3002,5985,0,0,0,2983,3002,5985
PORT MACQUARIE,1993,18,5215,5237,10452,0,0,0,5215,5237,10452
PORT MACQUARIE,1994,13,6439,6426,12865,0,0,0,6439,6426,12865
PORT MACQUARIE,1995,19,4866,4953,9819,0,0,0,4866,4953,9819
PORT MACQUARIE,1996,19,4896,5037,9933,0,0,0,4896,5037,9933
PORT MACQUARIE,1997,19,5251,5236,10487,0,0,0,5251,5236,10487
PORT MACQUARIE,1998,19,5034,5042,10076,0,0,0,5034,5042,10076
PORT MACQUARIE,1999,18,4967,4964,9931,0,0,0,4967,4964,9931
PORT MACQUARIE,2000,21,4767,4764,9531,0,0,0,4767,4764,9531
PORT MACQUARIE,2001,23,3776,3767,7543,0,0,0,3776,3767,7543
PORT MACQUARIE,2002,24,3083,3076,6159,0,0,0,3083,3076,6159
PORT MACQUARIE,2003,-,1498,1492,2990,0,0,0,1498,1492,2990
PORT MACQUARIE,2004,-,1634,1634,3268,0,0,0,1634,1634,3268
PORT MACQUARIE,2005,-,1972,1967,3939,0,0,0,1972,1967,3939
PORT MACQUARIE,2006,28,2551,2548,5099,0,0,0,2551,2548,5099
PORT MACQUARIE,2007,26,2838,2824,5662,0,0,0,2838,2824,5662
PORT MACQUARIE,2008,25,2856,2881,5737,0,0,0,2856,2881,5737
PORT MACQUARIE,2009,27,2694,2694,5388,0,0,0,2694,2694,5388
PORT MACQUARIE,2010,27,2889,2891,5780,0,0,0,2889,2891,5780
PORT MACQUARIE,2011,-,2375,2373,4748,0,0,0,2375,2373,4748
PORT MACQUARIE,2012,32,2682,2675,5357,0,0,0,2682,2675,5357
PORT MACQUARIE,2013,32,2689,2682,5371,0,0,0,2689,2682,5371
PORT MACQUARIE,2014,27,2967,2965,5932,0,0,0,2967,2965,5932
PORT MACQUARIE,2015,28,2708,2704,5412,0,0,0,2708,2704,5412
PORT MACQUARIE,2016,27,2707,2701,5408,0,0,0,2707,2701,5408
PROSERPINE,1985,-,883,883,1766,0,0,0,883,883,1766
PROSERPINE,1986,-,995,998,1993,0,0,0,995,998,1993
PROSERPINE,1987,-,1022,1027,2049,0,0,0,1022,1027,2049
PROSERPINE,1988,-,1005,1005,2010,0,0,0,1005,1005,2010
PROSERPINE,1989,-,778,776,1554,0,0,0,778,776,1554
PROSERPINE,1990,-,590,587,1177,0,0,0,590,587,1177
PROSERPINE,1991,-,448,448,896,0,0,0,448,448,896
PROSERPINE,1992,-,456,451,907,0,0,0,456,451,907
PROSERPINE,1993,-,683,690,1373,0,0,0,683,690,1373
PROSERPINE,1994,-,1241,1245,2486,0,0,0,1241,1245,2486
PROSERPINE,1995,-,1517,1517,3034,0,0,0,1517,1517,3034
PROSERPINE,1996,-,1432,1432,2864,0,0,0,1432,1432,2864
PROSERPINE,1997,-,1507,1509,3016,0,0,0,1507,1509,3016
PROSERPINE,1998,-,1513,1511,3024,0,0,0,1513,1511,3024
PROSERPINE,1999,-,1563,1556,3119,0,0,0,1563,1556,3119
PROSERPINE,2000,-,1094,1085,2179,0,0,0,1094,1085,2179
PROSERPINE,2001,-,511,513,1024,0,0,0,511,513,1024
PROSERPINE,2002,-,617,617,1234,0,0,0,617,617,1234
PROSERPINE,2003,-,551,551,1102,0,0,0,551,551,1102
PROSERPINE,2004,-,767,767,1534,0,0,0,767,767,1534
PROSERPINE,2005,-,1068,1069,2137,0,0,0,1068,1069,2137
PROSERPINE,2006,-,935,938,1873,0,0,0,935,938,1873
PROSERPINE,2007,-,934,931,1865,0,0,0,934,931,1865
PROSERPINE,2008,-,847,844,1691,0,0,0,847,844,1691
PROSERPINE,2009,-,728,727,1455,0,0,0,728,727,1455
PROSERPINE,2010,-,724,724,1448,0,0,0,724,724,1448
PROSERPINE,2011,-,715,715,1430,0,0,0,715,715,1430
PROSERPINE,2012,-,936,935,1871,0,0,0,936,935,1871
PROSERPINE,2013,-,956,955,1911,0,0,0,956,955,1911
PROSERPINE,2014,-,1084,1083,2167,0,0,0,1084,1083,2167
PROSERPINE,2015,-,1246,1243,2489,0,0,0,1246,1243,2489
PROSERPINE,2016,-,1161,1161,2322,0,0,0,1161,1161,2322
ROCKHAMPTON,1985,14,5311,5325,10636,0,0,0,5311,5325,10636
ROCKHAMPTON,1986,16,5591,5583,11174,0,0,0,5591,5583,11174
ROCKHAMPTON,1987,15,5517,5506,11023,0,0,0,5517,5506,11023
ROCKHAMPTON,1988,12,5598,5675,11273,0,0,0,5598,5675,11273
ROCKHAMPTON,1989,11,5206,5102,10308,0,0,0,5206,5102,10308
ROCKHAMPTON,1990,13,4594,4630,9224,0,0,0,4594,4630,9224
ROCKHAMPTON,1991,11,5874,5869,11743,0,0,0,5874,5869,11743
ROCKHAMPTON,1992,12,6007,5999,12006,0,0,0,6007,5999,12006
ROCKHAMPTON,1993,13,6102,6090,12192,0,0,0,6102,6090,12192
ROCKHAMPTON,1994,15,6163,6169,12332,0,0,0,6163,6169,12332
ROCKHAMPTON,1995,11,6927,6923,13850,0,0,0,6927,6923,13850
ROCKHAMPTON,1996,11,6843,6849,13692,0,0,0,6843,6849,13692
ROCKHAMPTON,1997,12,6660,6633,13293,0,0,0,6660,6633,13293
ROCKHAMPTON,1998,14,6056,6057,12113,0,0,0,6056,6057,12113
ROCKHAMPTON,1999,16,5387,5384,10771,0,0,0,5387,5384,10771
ROCKHAMPTON,2000,19,5249,5258,10507,0,0,0,5249,5258,10507
ROCKHAMPTON,2001,19,4522,4524,9046,0,0,0,4522,4524,9046
ROCKHAMPTON,2002,21,3383,3385,6768,0,0,0,3383,3385,6768
ROCKHAMPTON,2003,19,3616,3616,7232,0,0,0,3616,3616,7232
ROCKHAMPTON,2004,15,4615,4615,9230,0,0,0,4615,4615,9230
ROCKHAMPTON,2005,13,6016,6012,12028,0,0,0,6016,6012,12028
ROCKHAMPTON,2006,13,5949,5910,11859,0,0,0,5949,5910,11859
ROCKHAMPTON,2007,14,5968,5777,11745,0,0,0,5968,5777,11745
ROCKHAMPTON,2008,14,5952,5847,11799,0,0,0,5952,5847,11799
ROCKHAMPTON,2009,14,6387,6355,12742,0,0,0,6387,6355,12742
ROCKHAMPTON,2010,13,7307,7295,14602,0,0,0,7307,7295,14602
ROCKHAMPTON,2011,15,6333,6270,12603,0,0,0,6333,6270,12603
ROCKHAMPTON,2012,14,6944,6721,13665,0,0,0,6944,6721,13665
ROCKHAMPTON,2013,15,6973,6785,13758,0,0,0,6973,6785,13758
ROCKHAMPTON,2014,15,6352,6151,12503,0,0,0,6352,6151,12503
ROCKHAMPTON,2015,15,5672,5467,11139,0,0,0,5672,5467,11139
ROCKHAMPTON,2016,15,5374,5162,10536,0,0,0,5374,5162,10536
ROMA,1985,-,618,595,1213,0,0,0,618,595,1213
ROMA,1986,-,522,522,1044,0,0,0,522,522,1044
ROMA,1987,-,267,267,534,0,0,0,267,267,534
ROMA,1988,-,0,0,0,0,0,0,0,0,0
ROMA,1989,-,0,0,0,0,0,0,0,0,0
ROMA,1990,-,0,0,0,0,0,0,0,0,0
ROMA,1991,-,563,563,1126,0,0,0,563,563,1126
ROMA,1992,-,681,681,1362,0,0,0,681,681,1362
ROMA,1993,-,728,729,1457,0,0,0,728,729,1457
ROMA,1994,-,758,758,1516,0,0,0,758,758,1516
ROMA,1995,-,817,821,1638,0,0,0,817,821,1638
ROMA,1996,-,823,821,1644,0,0,0,823,821,1644
ROMA,1997,-,868,868,1736,0,0,0,868,868,1736
ROMA,1998,-,879,879,1758,0,0,0,879,879,1758
ROMA,1999,-,868,868,1736,0,0,0,868,868,1736
ROMA,2000,-,859,852,1711,0,0,0,859,852,1711
ROMA,2001,-,822,830,1652,0,0,0,822,830,1652
ROMA,2002,-,768,768,1536,0,0,0,768,768,1536
ROMA,2003,-,716,717,1433,0,0,0,716,717,1433
ROMA,2004,-,743,744,1487,0,0,0,743,744,1487
ROMA,2005,-,759,763,1522,0,0,0,759,763,1522
ROMA,2006,-,778,778,1556,0,0,0,778,778,1556
ROMA,2007,-,881,880,1761,0,0,0,881,880,1761
ROMA,2008,-,840,841,1681,0,0,0,840,841,1681
ROMA,2009,-,994,994,1988,0,0,0,994,994,1988
ROMA,2010,-,1056,1056,2112,0,0,0,1056,1056,2112
ROMA,2011,-,1480,1642,3122,0,0,0,1480,1642,3122
ROMA,2012,-,2005,2006,4011,0,0,0,2005,2006,4011
ROMA,2013,31,2839,2839,5678,0,0,0,2839,2839,5678
ROMA,2014,24,3171,3199,6370,0,0,0,3171,3199,6370
ROMA,2015,-,2221,2281,4502,0,0,0,2221,2281,4502
ROMA,2016,-,1204,1200,2404,0,0,0,1204,1200,2404
SUNSHINE COAST,1985,-,2167,2083,4250,0,0,0,2167,2083,4250
SUNSHINE COAST,1986,-,2168,2089,4257,0,0,0,2168,2089,4257
SUNSHINE COAST,1987,-,2359,2319,4678,0,0,0,2359,2319,4678
SUNSHINE COAST,1988,29,2882,2896,5778,0,0,0,2882,2896,5778
SUNSHINE COAST,1989,-,1791,1786,3577,0,0,0,1791,1786,3577
SUNSHINE COAST,1990,-,2177,2168,4345,0,0,0,2177,2168,4345
SUNSHINE COAST,1991,-,1482,1477,2959,0,0,0,1482,1477,2959
SUNSHINE COAST,1992,-,1344,1342,2686,0,0,0,1344,1342,2686
SUNSHINE COAST,1993,-,2180,2177,4357,0,0,0,2180,2177,4357
SUNSHINE COAST,1994,37,2717,2709,5426,0,0,0,2717,2709,5426
SUNSHINE COAST,1995,26,3686,3676,7362,0,0,0,3686,3676,7362
SUNSHINE COAST,1996,23,4317,4311,8628,0,0,0,4317,4311,8628
SUNSHINE COAST,1997,34,3077,3084,6161,0,0,0,3077,3084,6161
SUNSHINE COAST,1998,33,3310,3307,6617,0,0,0,3310,3307,6617
SUNSHINE COAST,1999,23,4552,4555,9107,0,0,0,4552,4555,9107
SUNSHINE COAST,2000,20,4995,4994,9989,0,0,0,4995,4994,9989
SUNSHINE COAST,2001,24,3614,3613,7227,0,0,0,3614,3613,7227
SUNSHINE COAST,2002,-,2252,2245,4497,0,0,0,2252,2245,4497
SUNSHINE COAST,2003,27,2708,2689,5397,0,0,0,2708,2689,5397
SUNSHINE COAST,2004,22,3432,3385,6817,0,0,0,3432,3385,6817
SUNSHINE COAST,2005,21,3639,3624,7263,0,0,0,3639,3624,7263
SUNSHINE COAST,2006,24,3036,3043,6079,0,0,0,3036,3043,6079
SUNSHINE COAST,2007,24,3012,3015,6027,0,0,0,3012,3015,6027
SUNSHINE COAST,2008,21,3381,3387,6768,0,0,0,3381,3387,6768
SUNSHINE COAST,2009,24,2923,2927,5850,0,0,0,2923,2927,5850
SUNSHINE COAST,2010,23,3306,3295,6601,0,0,0,3306,3295,6601
SUNSHINE COAST,2011,24,3127,3110,6237,0,0,0,3127,3110,6237
SUNSHINE COAST,2012,31,2700,2695,5395,24,24,48,2724,2719,5443
SUNSHINE COAST,2013,28,2950,2942,5892,34,34,68,2984,2976,5960
SUNSHINE COAST,2014,25,2954,2946,5900,42,42,84,2996,2988,5984
SUNSHINE COAST,2015,25,2970,2963,5933,57,57,114,3027,3020,6047
SUNSHINE COAST,2016,24,3494,3484,6978,76,75,151,3570,3559,7129
SYDNEY,1985,1,57685,57541,115226,10093,9975,20068,67778,67516,135294
SYDNEY,1986,1,59776,59756,119532,11024,11007,22031,70800,70763,141563
SYDNEY,1987,1,61646,61510,123156,12470,12404,24874,74116,73914,148030
SYDNEY,1988,1,66207,66138,132345,14074,13881,27955,80281,80019,160300
SYDNEY,1989,1,55493,55222,110715,15806,15370,31176,71299,70592,141891
SYDNEY,1990,1,64379,64218,128597,16426,16086,32512,80805,80304,161109
SYDNEY,1991,1,70772,70500,141272,16070,15913,31983,86842,86413,173255
SYDNEY,1992,1,79276,79156,158432,17465,17348,34813,96741,96504,193245
SYDNEY,1993,1,84083,84143,168226,18172,18058,36230,102255,102201,204456
SYDNEY,1994,1,88979,88866,177845,17740,17827,35567,106719,106693,213412
SYDNEY,1995,1,94456,94643,189099,19516,19485,39001,113972,114128,228100
SYDNEY,1996,1,99695,99990,199685,21114,21069,42183,120809,121059,241868
SYDNEY,1997,1,100570,100864,201434,22357,21902,44259,122927,122766,245693
SYDNEY,1998,1,102143,102517,204660,23468,22976,46444,125611,125493,251104
SYDNEY,1999,1,101923,102181,204104,23143,22777,45920,125066,124958,250024
SYDNEY,2000,1,109807,109841,219648,25117,24691,49808,134924,134532,269456
SYDNEY,2001,1,106953,107064,214017,24420,23934,48354,131373,130998,262371
SYDNEY,2002,1,87424,87644,175068,23397,23061,46458,110821,110705,221526
SYDNEY,2003,1,90206,90276,180482,24646,24494,49140,114852,114770,229622
SYDNEY,2004,1,98642,98750,197392,28085,28031,56116,126727,126781,253508
SYDNEY,2005,1,99482,99559,199041,29407,29296,58703,128889,128855,257744
SYDNEY,2006,1,101449,101378,202827,29131,29091,58222,130580,130469,261049
SYDNEY,2007,1,104550,104835,209385,29322,29214,58536,133872,134049,267921
SYDNEY,2008,1,109096,109716,218812,30164,30072,60236,139260,139788,279048
SYDNEY,2009,1,104373,104470,208843,30068,29832,59900,134441,134302,268743
SYDNEY,2010,1,113027,113201,226228,31355,31161,62516,144382,144362,288744
SYDNEY,2011,1,112051,112274,224325,32559,32442,65001,144610,144716,289326
SYDNEY,2012,1,116598,116808,233406,33601,33456,67057,150199,150264,300463
SYDNEY,2013,1,118705,118845,237550,34544,34356,68900,153249,153201,306450
SYDNEY,2014,1,117703,117805,235508,34853,34694,69547,152556,152499,305055
SYDNEY,2015,1,120631,120933,241564,34268,34185,68453,154899,155118,310017
SYDNEY,2016,1,121595,121989,243584,37215,37159,74374,158810,159148,317958
TAMWORTH,1985,-,2333,2338,4671,0,0,0,2333,2338,4671
TAMWORTH,1986,-,2339,2340,4679,0,0,0,2339,2340,4679
TAMWORTH,1987,33,2501,2502,5003,0,0,0,2501,2502,5003
TAMWORTH,1988,-,2322,2328,4650,0,0,0,2322,2328,4650
TAMWORTH,1989,-,2141,2123,4264,0,0,0,2141,2123,4264
TAMWORTH,1990,-,2384,2382,4766,0,0,0,2384,2382,4766
TAMWORTH,1991,29,3333,3346,6679,0,0,0,3333,3346,6679
TAMWORTH,1992,24,3615,3640,7255,0,0,0,3615,3640,7255
TAMWORTH,1993,23,4193,4218,8411,0,0,0,4193,4218,8411
TAMWORTH,1994,24,4126,4134,8260,0,0,0,4126,4134,8260
TAMWORTH,1995,22,4476,4430,8906,0,0,0,4476,4430,8906
TAMWORTH,1996,24,4210,4152,8362,0,0,0,4210,4152,8362
TAMWORTH,1997,25,3840,3845,7685,0,0,0,3840,3845,7685
TAMWORTH,1998,23,4033,3984,8017,0,0,0,4033,3984,8017
TAMWORTH,1999,24,4343,4365,8708,0,0,0,4343,4365,8708
TAMWORTH,2000,18,5715,5787,11502,0,0,0,5715,5787,11502
TAMWORTH,2001,18,4510,4613,9123,0,0,0,4510,4613,9123
TAMWORTH,2002,28,2789,2756,5545,0,0,0,2789,2756,5545
TAMWORTH,2003,-,2038,2021,4059,0,0,0,2038,2021,4059
TAMWORTH,2004,30,2531,2533,5064,0,0,0,2531,2533,5064
TAMWORTH,2005,30,2513,2514,5027,0,0,0,2513,2514,5027
TAMWORTH,2006,-,2414,2412,4826,0,0,0,2414,2412,4826
TAMWORTH,2007,-,1736,1736,3472,0,0,0,1736,1736,3472
TAMWORTH,2008,-,1771,1773,3544,0,0,0,1771,1773,3544
TAMWORTH,2009,-,1728,1727,3455,0,0,0,1728,1727,3455
TAMWORTH,2010,-,2219,2221,4440,0,0,0,2219,2221,4440
TAMWORTH,2011,-,2338,2338,4676,0,0,0,2338,2338,4676
TAMWORTH,2012,-,2291,2283,4574,0,0,0,2291,2283,4574
TAMWORTH,2013,-,2307,2307,4614,0,0,0,2307,2307,4614
TAMWORTH,2014,-,1871,1868,3739,0,0,0,1871,1868,3739
TAMWORTH,2015,-,2025,2029,4054,0,0,0,2025,2029,4054
TAMWORTH,2016,-,2320,2317,4637,0,0,0,2320,2317,4637
TAREE,1985,-,2009,2017,4026,0,0,0,2009,2017,4026
TAREE,1986,-,1818,1818,3636,0,0,0,1818,1818,3636
TAREE,1987,-,1832,1832,3664,0,0,0,1832,1832,3664
TAREE,1988,-,1556,1557,3113,0,0,0,1556,1557,3113
TAREE,1989,-,1918,1907,3825,0,0,0,1918,1907,3825
TAREE,1990,20,4005,4000,8005,0,0,0,4005,4000,8005
TAREE,1991,18,4732,4706,9438,0,0,0,4732,4706,9438
TAREE,1992,-,2256,2272,4528,0,0,0,2256,2272,4528
TAREE,1993,-,2095,2038,4133,0,0,0,2095,2038,4133
TAREE,1994,-,1921,1769,3690,0,0,0,1921,1769,3690
TAREE,1995,-,2059,1836,3895,0,0,0,2059,1836,3895
TAREE,1996,-,2110,1864,3974,0,0,0,2110,1864,3974
TAREE,1997,-,1290,1227,2517,0,0,0,1290,1227,2517
TAREE,1998,-,1267,1195,2462,0,0,0,1267,1195,2462
TAREE,1999,-,1337,1293,2630,0,0,0,1337,1293,2630
TAREE,2000,-,2298,2295,4593,0,0,0,2298,2295,4593
TAREE,2001,-,1937,1937,3874,0,0,0,1937,1937,3874
TAREE,2002,-,997,996,1993,0,0,0,997,996,1993
TAREE,2003,-,959,955,1914,0,0,0,959,955,1914
TAREE,2004,-,1020,1019,2039,0,0,0,1020,1019,2039
TAREE,2005,-,1315,1315,2630,0,0,0,1315,1315,2630
TAREE,2006,-,965,965,1930,0,0,0,965,965,1930
TAREE,2007,-,1545,1546,3091,0,0,0,1545,1546,3091
TAREE,2008,-,1805,1809,3614,0,0,0,1805,1809,3614
TAREE,2009,-,1784,1786,3570,0,0,0,1784,1786,3570
TAREE,2010,-,1764,1763,3527,0,0,0,1764,1763,3527
TAREE,2011,-,1745,1752,3497,0,0,0,1745,1752,3497
TAREE,2012,-,1714,1727,3441,0,0,0,1714,1727,3441
TAREE,2013,-,1701,1717,3418,0,0,0,1701,1717,3418
TAREE,2014,-,1537,1564,3101,0,0,0,1537,1564,3101
TAREE,2015,-,881,861,1742,0,0,0,881,861,1742
TAREE,2016,-,934,882,1816,0,0,0,934,882,1816
THURSDAY ISLAND,1985,-,347,350,697,0,0,0,347,350,697
THURSDAY ISLAND,1986,-,458,447,905,0,0,0,458,447,905
THURSDAY ISLAND,1987,-,646,653,1299,0,0,0,646,653,1299
THURSDAY ISLAND,1988,-,1500,1500,3000,0,0,0,1500,1500,3000
THURSDAY ISLAND,1989,-,1552,1550,3102,0,0,0,1552,1550,3102
THURSDAY ISLAND,1990,-,636,661,1297,0,0,0,636,661,1297
THURSDAY ISLAND,1991,-,1978,2094,4072,0,0,0,1978,2094,4072
THURSDAY ISLAND,1992,30,2799,3052,5851,0,0,0,2799,3052,5851
THURSDAY ISLAND,1993,-,1765,1734,3499,0,0,0,1765,1734,3499
THURSDAY ISLAND,1994,-,1103,1109,2212,0,0,0,1103,1109,2212
THURSDAY ISLAND,1995,-,930,939,1869,0,0,0,930,939,1869
THURSDAY ISLAND,1996,-,1156,1158,2314,0,0,0,1156,1158,2314
THURSDAY ISLAND,1997,-,933,933,1866,0,0,0,933,933,1866
THURSDAY ISLAND,1998,-,947,946,1893,0,0,0,947,946,1893
THURSDAY ISLAND,1999,-,1300,1300,2600,0,0,0,1300,1300,2600
THURSDAY ISLAND,2000,-,1117,1117,2234,0,0,0,1117,1117,2234
THURSDAY ISLAND,2001,-,878,880,1758,0,0,0,878,880,1758
THURSDAY ISLAND,2002,-,895,894,1789,0,0,0,895,894,1789
THURSDAY ISLAND,2003,-,896,890,1786,0,0,0,896,890,1786
THURSDAY ISLAND,2004,-,889,889,1778,0,0,0,889,889,1778
THURSDAY ISLAND,2005,-,873,873,1746,0,0,0,873,873,1746
THURSDAY ISLAND,2006,-,868,867,1735,0,0,0,868,867,1735
THURSDAY ISLAND,2007,-,938,937,1875,0,0,0,938,937,1875
THURSDAY ISLAND,2008,-,876,878,1754,0,0,0,876,878,1754
THURSDAY ISLAND,2009,-,2387,2384,4771,0,0,0,2387,2384,4771
THURSDAY ISLAND,2010,24,3154,3133,6287,0,0,0,3154,3133,6287
THURSDAY ISLAND,2011,18,3721,3691,7412,0,0,0,3721,3691,7412
THURSDAY ISLAND,2012,19,3530,3527,7057,0,0,0,3530,3527,7057
THURSDAY ISLAND,2013,24,3457,3390,6847,0,0,0,3457,3390,6847
THURSDAY ISLAND,2014,26,2986,2988,5974,0,0,0,2986,2988,5974
THURSDAY ISLAND,2015,24,3028,3031,6059,0,0,0,3028,3031,6059
THURSDAY ISLAND,2016,25,3362,3354,6716,0,0,0,3362,3354,6716
TOWNSVILLE,1985,7,8791,8810,17601,104,105,209,8895,8915,17810
TOWNSVILLE,1986,7,8584,8452,17036,154,152,306,8738,8604,17342
TOWNSVILLE,1987,8,8370,8257,16627,136,139,275,8506,8396,16902
TOWNSVILLE,1988,9,8336,8239,16575,186,186,372,8522,8425,16947
TOWNSVILLE,1989,9,6665,6783,13448,255,254,509,6920,7037,13957
TOWNSVILLE,1990,10,5672,5652,11324,161,161,322,5833,5813,11646
TOWNSVILLE,1991,9,7440,7427,14867,44,44,88,7484,7471,14955
TOWNSVILLE,1992,11,7070,7098,14168,18,18,36,7088,7116,14204
TOWNSVILLE,1993,11,7119,7145,14264,104,104,208,7223,7249,14472
TOWNSVILLE,1994,10,7790,7802,15592,58,58,116,7848,7860,15708
TOWNSVILLE,1995,10,8279,8283,16562,0,0,0,8279,8283,16562
TOWNSVILLE,1996,10,8810,8814,17624,0,0,0,8810,8814,17624
TOWNSVILLE,1997,10,8962,8968,17930,55,49,104,9017,9017,18034
TOWNSVILLE,1998,10,8699,8694,17393,22,22,44,8721,8716,17437
TOWNSVILLE,1999,10,8772,8763,17535,14,11,25,8786,8774,17560
TOWNSVILLE,2000,10,9405,9366,18771,0,0,0,9405,9366,18771
TOWNSVILLE,2001,10,7956,7875,15831,18,16,34,7974,7891,15865
TOWNSVILLE,2002,10,6826,6745,13571,0,0,0,6826,6745,13571
TOWNSVILLE,2003,10,8217,8184,16401,0,0,0,8217,8184,16401
TOWNSVILLE,2004,9,9070,9090,18160,0,0,0,9070,9090,18160
TOWNSVILLE,2005,9,11036,11101,22137,0,0,0,11036,11101,22137
TOWNSVILLE,2006,9,10850,10832,21682,3,3,6,10853,10835,21688
TOWNSVILLE,2007,9,10175,10169,20344,0,0,0,10175,10169,20344
TOWNSVILLE,2008,10,10115,10139,20254,0,0,0,10115,10139,20254
TOWNSVILLE,2009,10,11706,11831,23537,0,0,0,11706,11831,23537
TOWNSVILLE,2010,9,14041,14207,28248,7,8,15,14048,14215,28263
TOWNSVILLE,2011,9,14208,14333,28541,52,52,104,14260,14385,28645
TOWNSVILLE,2012,9,13750,13929,27679,0,0,0,13750,13929,27679
TOWNSVILLE,2013,9,13510,13721,27231,0,0,0,13510,13721,27231
TOWNSVILLE,2014,10,12765,12976,25741,0,0,0,12765,12976,25741
TOWNSVILLE,2015,10,12515,12529,25044,44,45,89,12559,12574,25133
TOWNSVILLE,2016,10,12653,12642,25295,153,154,307,12806,12796,25602
WAGGA WAGGA,1985,27,2949,2986,5935,0,0,0,2949,2986,5935
WAGGA WAGGA,1986,26,2965,2960,5925,0,0,0,2965,2960,5925
WAGGA WAGGA,1987,25,2988,2962,5950,0,0,0,2988,2962,5950
WAGGA WAGGA,1988,27,3043,3020,6063,0,0,0,3043,3020,6063
WAGGA WAGGA,1989,27,2801,2728,5529,0,0,0,2801,2728,5529
WAGGA WAGGA,1990,33,2657,2638,5295,0,0,0,2657,2638,5295
WAGGA WAGGA,1991,31,3207,3102,6309,0,0,0,3207,3102,6309
WAGGA WAGGA,1992,20,4538,4533,9071,0,0,0,4538,4533,9071
WAGGA WAGGA,1993,19,4694,4690,9384,0,0,0,4694,4690,9384
WAGGA WAGGA,1994,29,3442,3424,6866,0,0,0,3442,3424,6866
WAGGA WAGGA,1995,28,3587,3586,7173,0,0,0,3587,3586,7173
WAGGA WAGGA,1996,25,4009,4003,8012,0,0,0,4009,4003,8012
WAGGA WAGGA,1997,23,3905,3894,7799,0,0,0,3905,3894,7799
WAGGA WAGGA,1998,26,3720,3714,7434,0,0,0,3720,3714,7434
WAGGA WAGGA,1999,26,3946,3965,7911,0,0,0,3946,3965,7911
WAGGA WAGGA,2000,24,3955,3951,7906,0,0,0,3955,3951,7906
WAGGA WAGGA,2001,22,3989,3977,7966,0,0,0,3989,3977,7966
WAGGA WAGGA,2002,22,3179,3167,6346,0,0,0,3179,3167,6346
WAGGA WAGGA,2003,21,3343,3327,6670,0,0,0,3343,3327,6670
WAGGA WAGGA,2004,23,3363,3354,6717,0,0,0,3363,3354,6717
WAGGA WAGGA,2005,23,3562,3560,7122,0,0,0,3562,3560,7122
WAGGA WAGGA,2006,19,3908,3913,7821,0,0,0,3908,3913,7821
WAGGA WAGGA,2007,18,4099,4106,8205,0,0,0,4099,4106,8205
WAGGA WAGGA,2008,18,3813,3811,7624,0,0,0,3813,3811,7624
WAGGA WAGGA,2009,17,3816,3822,7638,0,0,0,3816,3822,7638
